DRM Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
Addresses,,,,,,,,,,,
Path,Instance,TMB,type,7,6,5,4,3,2,1,0
"XLOOP,XDRIVER,XBBM",drm_hex0x0,0x00,drm16,na,na,na,na,na,na,0x03,0x63
"XLOOP,XDRIVER,XBOTSW",drm_hex0x2,0x02,drm24,na,na,na,na,na,0x02,0x00,0x01
"XLOOP,XDRIVER,XBOTSW",drm_hex0x6,0x06,drm16L,na,na,na,na,na,na,na,na
"XLOOP,XDRIVER,XTOPSW",drm_hex0x8,0x08,drm16,na,na,na,na,na,na,0x10,0x00
"XLOOP,XDRIVER,XTOPSW",drm_hex0xa,0x0A,drm16L,na,na,na,na,na,na,na,na
"XLOOP,XFEEDBACK,XFB",drm_hex0xc,0x0C,drm8,na,na,na,na,na,na,na,0x00
"XLOOP,XREG,XDEBUG",drm_hex0xe,0x0E,drm8,na,na,na,na,na,na,na,0x00
"XLOOP,XREG,XFREQ",drm_hex0x10,0x10,drm8,na,na,na,na,na,na,na,0x65
"XLOOP,XREG,XFREQ",drm_hex0x12,0x12,drm40L,na,na,na,na,na,na,na,na
